config,seed,accuracy,auc,brier,log_loss,best_round,fold
F1×H4,59,0.719481454807346,0.7693065532664679,0.1831098198890686,0.5413207048338067,484,2025
F1×H4,60,0.719841555635578,0.7696248559907833,0.1832190901041031,0.5415085010210808,575,2025
F1×H4,61,0.7207418077061577,0.7703132059275323,0.18283626437187195,0.540664850044614,500,2025
F1×H4,62,0.7230824630896651,0.7709872255353754,0.18263235688209534,0.5402824203478502,564,2025
F1×H4,63,0.7193014043932301,0.7693442497966929,0.18329395353794098,0.5418798478555997,619,2025
F1×H4,64,0.7218221101908534,0.7698055028462998,0.1829317808151245,0.5411656719787021,484,2025
F1×H4,65,0.7211019085343896,0.7700120572422517,0.18287846446037292,0.5407914345571244,495,2025
F1×H4,66,0.7200216060496939,0.7700110689437065,0.18310964107513428,0.5412331471748573,608,2025
F1×H4,67,0.723262513503781,0.7696667174934491,0.18304608762264252,0.541181944732578,514,2025
F1×H4,68,0.7211019085343896,0.7701007217403091,0.18291135132312775,0.5409114939668129,556,2025
F1×H4,69,0.7212819589485056,0.7696538696123612,0.18310648202896118,0.5412317150050251,567,2025
F1×H4,70,0.7223622614332013,0.7701855742296918,0.18284860253334045,0.5408057189958029,546,2025
F1×H4,71,0.7236226143320129,0.7703900108430469,0.18283966183662415,0.540700738607289,555,2025
F1×H4,72,0.7212819589485056,0.7696318446733532,0.1831437349319458,0.5416012614085567,564,2025
F1×H4,73,0.7223622614332013,0.7702263062483058,0.18303759396076202,0.5411367279425222,570,2025
F1×H4,74,0.719481454807346,0.769578476551911,0.18314175307750702,0.5414316133226327,558,2025
F1×H4,75,0.7223622614332013,0.7701694790819553,0.18289940059185028,0.5409029142513393,565,2025
F1×H4,76,0.7212819589485056,0.7698002789825609,0.1830219030380249,0.5411850757541626,560,2025
F1×H4,77,0.719841555635578,0.7700753083491462,0.18296857178211212,0.5408866240897503,559,2025
F1×H4,78,0.7220021606049694,0.7700720610824975,0.182952418923378,0.5409926358008528,577,2025
F1×H4,79,0.7218221101908534,0.7703705272431554,0.18286842107772827,0.5408697250320209,558,2025
F1×H4,80,0.7212819589485056,0.7696175849372007,0.1830567568540573,0.5412133665704106,528,2025
F1×H4,81,0.7214620093626215,0.7698547765880546,0.18305668234825134,0.5411640324540243,600,2025
F1×H4,82,0.7202016564638098,0.7697321569756935,0.18296261131763458,0.541046613183945,527,2025
F1×H4,83,0.7211019085343896,0.7695190374536911,0.18309561908245087,0.5413500349231167,496,2025
F1×H4,84,0.7214620093626215,0.769971395816391,0.1830446720123291,0.5411532023419904,586,2025
F1×H4,85,0.7218221101908534,0.770404129393693,0.18280568718910217,0.5405954446677527,556,2025
F1×H4,86,0.7211019085343896,0.7696638937833197,0.1830608993768692,0.5412987251568495,521,2025
F1×H4,87,0.7220021606049694,0.7706437211981566,0.1827259361743927,0.5404442238082148,515,2025
F1×H4,88,0.7214620093626215,0.7702250355787476,0.18298250436782837,0.5410325471143036,583,2025
F1×H4,89,0.7230824630896651,0.769889225851631,0.1829882562160492,0.5411297834905707,537,2025
F1×H4,90,0.7203817068779258,0.7698477173127315,0.18299603462219238,0.5409897874752512,532,2025
F1×H4,91,0.7220021606049694,0.7709116206966659,0.18264546990394592,0.5402267715962248,524,2025
F1×H4,92,0.7212819589485056,0.7696309975603145,0.18305978178977966,0.5412459443918187,513,2025
F1×H4,93,0.719661505221462,0.7693410025300442,0.1833464652299881,0.5419052224234586,612,2025
F1×H4,94,0.7212819589485056,0.7700270229059365,0.18295444548130035,0.5409589422962375,555,2025
F1×H4,95,0.7207418077061577,0.7696697529818379,0.18304823338985443,0.541280488239323,545,2025
F1×H4,96,0.7221822110190853,0.7701838800036145,0.18296633660793304,0.5410141740924023,544,2025
F1×H4,97,0.7214620093626215,0.7695707113490557,0.1830424815416336,0.541085581886611,495,2025
F1×H4,98,0.7216420597767375,0.7691854161019247,0.18330755829811096,0.5418938540119971,558,2025
F1×H4,99,0.7216420597767375,0.769736604319147,0.1830224245786667,0.5411951637198469,525,2025
F1×H4,0,0.7150489759572574,0.7774943387709139,0.18067719042301178,0.5319383296717991,583,2026
F1×H4,1,0.7139804096170971,0.7776395935392655,0.18063393235206604,0.5317429021913154,606,2026
F1×H4,2,0.714692787177204,0.7779999846233137,0.1804628223180771,0.5314973931410113,544,2026
F1×H4,3,0.7162956366874443,0.7778401769197587,0.18057315051555634,0.5317596967571483,580,2026
F1×H4,4,0.715227070347284,0.7773676870470915,0.18072764575481415,0.5318657258809254,640,2026
F1×H4,5,0.7166518254674977,0.778182514126644,0.18035641312599182,0.5313705087320119,501,2026
F1×H4,6,0.7157613535173643,0.7777143489469853,0.1805960088968277,0.5317665903193557,573,2026
F1×H4,7,0.7145146927871772,0.7775325745487834,0.18063180148601532,0.5320183643883079,518,2026
F1×H4,8,0.7143365983971505,0.7773663827745967,0.18070906400680542,0.5320034417145574,594,2026
F1×H4,9,0.7161175422974176,0.777931544640305,0.1804937720298767,0.5316094340660975,524,2026
F1×H4,10,0.715227070347284,0.777601975574683,0.18063776195049286,0.531786206450943,571,2026
F1×H4,11,0.7143365983971505,0.7776766623364819,0.18070365488529205,0.5318118142625078,670,2026
F1×H4,12,0.715939447907391,0.7775297600660319,0.18063730001449585,0.5319307554845035,540,2026
F1×H4,13,0.7150489759572574,0.7776812616131736,0.18059465289115906,0.5318348728776054,558,2026
F1×H4,14,0.716473731077471,0.7778672234125426,0.18049143254756927,0.5315836055832529,547,2026
F1×H4,15,0.7155832591273374,0.77783317503584,0.18056614696979523,0.531694385005418,577,2026
F1×H4,16,0.7154051647373108,0.7778700378952941,0.18054147064685822,0.5315492033152851,597,2026
F1×H4,17,0.7161175422974176,0.7777795625717179,0.18057504296302795,0.5317410162689499,581,2026
F1×H4,18,0.7155832591273374,0.7776290220674669,0.1805935800075531,0.5321004809651888,480,2026
F1×H4,19,0.7155832591273374,0.7776654730513962,0.18056705594062805,0.531815920073493,517,2026
F1×H4,20,0.7150489759572574,0.7779080677354013,0.18052035570144653,0.5315853869869178,562,2026
F1×H4,21,0.715939447907391,0.7778004309316322,0.18054956197738647,0.5315815628173098,584,2026
F1×H4,22,0.715227070347284,0.7778594664234953,0.18054817616939545,0.5315623485316743,563,2026
F1×H4,23,0.7155832591273374,0.7777632248425743,0.18059039115905762,0.5317287493069225,557,2026
F1×H4,24,0.7150489759572574,0.7773222434475409,0.1807284951210022,0.5319198293781097,602,2026
F1×H4,25,0.714692787177204,0.7775580421853896,0.18061333894729614,0.5319351141887886,503,2026
F1×H4,26,0.7170080142475512,0.7777965181141482,0.1805947721004486,0.5316371004586311,609,2026
F1×H4,27,0.7157613535173643,0.7778873366673285,0.18053454160690308,0.5316252936805318,586,2026
F1×H4,28,0.7143365983971505,0.7780533225037529,0.1805005818605423,0.5315547185260531,550,2026
F1×H4,29,0.714692787177204,0.7778871307295661,0.18044666945934296,0.5315522359253029,524,2026
F1×H4,30,0.7166518254674977,0.7781153784161299,0.18049149215221405,0.5314543517182806,596,2026
F1×H4,31,0.7154051647373108,0.7776592949185269,0.18066181242465973,0.5317330901261416,657,2026
F1×H4,32,0.7154051647373108,0.7778442270290842,0.18050037324428558,0.5316061216039393,530,2026
F1×H4,33,0.715939447907391,0.7780686991900055,0.1803775578737259,0.5312850302158261,525,2026
F1×H4,34,0.714692787177204,0.777584951386332,0.18065454065799713,0.5320878656654051,539,2026
F1×H4,35,0.7138023152270704,0.7781173005019115,0.18043802678585052,0.5314540133835498,538,2026
F1×H4,36,0.7143365983971505,0.7780879200478215,0.18039420247077942,0.531339026552764,527,2026
F1×H4,37,0.715227070347284,0.777741120856086,0.1805233657360077,0.531753521298062,526,2026
F1×H4,38,0.7150489759572574,0.7779561198799411,0.18049661815166473,0.5314165123098268,597,2026
F1×H4,39,0.7148708815672307,0.7776646493003471,0.18059906363487244,0.5316938409913513,597,2026
F1×H4,40,0.7143365983971505,0.7776743970210965,0.18059593439102173,0.5318678335801581,524,2026
F1×H4,41,0.715939447907391,0.7778005682234738,0.18060752749443054,0.531753204588714,586,2026
F1×H4,42,0.7143365983971505,0.777612203816878,0.18062837421894073,0.5319098607928273,553,2026
F1×H4,43,0.715227070347284,0.7779414296528959,0.1805199831724167,0.5314518917904945,625,2026
F1×H4,44,0.7154051647373108,0.777587903160925,0.1806601583957672,0.5317260657574041,618,2026
F1×H4,45,0.7157613535173643,0.7781681671292029,0.18039202690124512,0.5313268418925404,547,2026
F1×H4,46,0.715227070347284,0.777851778080369,0.18054291605949402,0.5315314462596069,589,2026
F1×H4,47,0.7155832591273374,0.7777614400486343,0.18060219287872314,0.5316872388193116,600,2026
F1×H4,48,0.716473731077471,0.7776341705115246,0.1806126981973648,0.5316378216172611,646,2026
F1×H4,49,0.7148708815672307,0.7776080850616316,0.1806613951921463,0.5319222317081809,589,2026
F1×H4,50,0.7170080142475512,0.7778120320922426,0.18056392669677734,0.5316174718531795,615,2026
F1×H4,51,0.7166518254674977,0.7779040862719966,0.18054670095443726,0.5315197425414269,597,2026
F1×H4,52,0.7139804096170971,0.7780481054137742,0.18044911324977875,0.5314410248399051,545,2026
F1×H4,53,0.715939447907391,0.7777543695187947,0.18062549829483032,0.5316875953044804,654,2026
F1×H4,54,0.7145146927871772,0.7779936005526821,0.18043804168701172,0.5315398672127405,520,2026
F1×H4,55,0.7161175422974176,0.77769341194115,0.1805938184261322,0.531649831682924,611,2026
F1×H4,56,0.7154051647373108,0.7779679269783137,0.18053404986858368,0.5315745914016982,593,2026
F1×H4,57,0.7136242208370437,0.7777264992749617,0.18057046830654144,0.5318389523673817,544,2026
F1×H4,58,0.715939447907391,0.7778020784337307,0.18057990074157715,0.5317352179158606,560,2026
F1×H4,59,0.7157613535173643,0.7777470930511932,0.18060162663459778,0.5317955096646967,556,2026
F1×H4,60,0.714692787177204,0.7777511431605186,0.1805582046508789,0.5315692723194231,574,2026
F1×H4,61,0.715939447907391,0.7782922103080361,0.18032041192054749,0.5311261929582839,549,2026
F1×H4,62,0.715939447907391,0.777443678081385,0.18065381050109863,0.5320459468613197,530,2026
F1×H4,63,0.7154051647373108,0.7776078104779486,0.18064844608306885,0.5318163687877888,606,2026
F1×H4,64,0.7125556544968833,0.7775104705622953,0.1806541532278061,0.5319923163661626,550,2026
F1×H4,65,0.7139804096170971,0.7774926226228948,0.1806904822587967,0.5318655881168108,621,2026
F1×H4,66,0.7170080142475512,0.7778055793756901,0.18057581782341003,0.5315667833607282,688,2026
F1×H4,67,0.7150489759572574,0.7777982342621674,0.18056084215641022,0.5315461582812613,642,2026
F1×H4,68,0.7162956366874443,0.777855622251932,0.18054723739624023,0.5316516705842776,552,2026
F1×H4,69,0.7161175422974176,0.777949529871547,0.1804988831281662,0.5314570453734446,620,2026
F1×H4,70,0.7150489759572574,0.7776260702928737,0.18061956763267517,0.5316819784844069,590,2026
F1×H4,71,0.7154051647373108,0.7779695058344913,0.18042443692684174,0.53165618234581,479,2026
F1×H4,72,0.7139804096170971,0.7774955743974878,0.18069927394390106,0.5321135073174709,544,2026
F1×H4,73,0.714692787177204,0.7774309785860423,0.18069249391555786,0.531964685272643,564,2026
F1×H4,74,0.7154051647373108,0.7776229125805182,0.18060874938964844,0.5319554077016184,527,2026
F1×H4,75,0.7139804096170971,0.7778513662048443,0.1806095540523529,0.531627302798536,654,2026
F1×H4,76,0.7139804096170971,0.7777571153556256,0.1805340200662613,0.5316055174554535,570,2026
F1×H4,77,0.715939447907391,0.7779614742617611,0.18043355643749237,0.5314642515000826,515,2026
F1×H4,78,0.715227070347284,0.7777464752379062,0.1806543469429016,0.5316951377263794,713,2026
F1×H4,79,0.7150489759572574,0.7779261902584849,0.180475115776062,0.5315705942136231,542,2026
F1×H4,80,0.7145146927871772,0.7776739164996512,0.18054257333278656,0.5316722173232724,553,2026
F1×H4,81,0.7143365983971505,0.7774360583841795,0.18069566786289215,0.5320474672054082,562,2026
F1×H4,82,0.7139804096170971,0.7777880746658935,0.18059201538562775,0.5317285313719201,574,2026
F1×H4,83,0.715939447907391,0.7774180045070165,0.18074099719524384,0.5321221620274932,559,2026
F1×H4,84,0.7155832591273374,0.7775916786865674,0.18067511916160583,0.5317709145540291,608,2026
F1×H4,85,0.716473731077471,0.7779504909144378,0.18050335347652435,0.5315464993327741,533,2026
F1×H4,86,0.7138023152270704,0.7777711877693838,0.1805940866470337,0.5317581882687449,557,2026
F1×H4,87,0.7148708815672307,0.7777518982656471,0.18056097626686096,0.5316834575628024,527,2026
F1×H4,88,0.715227070347284,0.7776474878201542,0.18064121901988983,0.5317966255541708,575,2026
F1×H4,89,0.7150489759572574,0.7778479339088058,0.1805851310491562,0.5315722773921984,631,2026
F1×H4,90,0.715227070347284,0.7773347370051212,0.1807376742362976,0.5320976485069151,604,2026
F1×H4,91,0.715939447907391,0.7779418415284205,0.18057025969028473,0.5316612742351368,578,2026
F1×H4,92,0.7154051647373108,0.7781683044210443,0.18044620752334595,0.5313424151948989,565,2026
F1×H4,93,0.7150489759572574,0.778112357995616,0.18046703934669495,0.5313694694722044,605,2026
F1×H4,94,0.7141585040071238,0.7778212306456258,0.1806555539369583,0.5318281518881356,588,2026
F1×H4,95,0.7173642030276046,0.7776249033122206,0.18058207631111145,0.5318871413476763,532,2026
F1×H4,96,0.7138023152270704,0.7778951623022963,0.18049031496047974,0.5316359745972774,515,2026
F1×H4,97,0.7150489759572574,0.7777398852295122,0.18059764802455902,0.5315876678813353,612,2026
F1×H4,98,0.7154051647373108,0.7777387868947798,0.18057402968406677,0.5318072201571572,527,2026
F1×H4,99,0.7145146927871772,0.7780314931009477,0.18050187826156616,0.5315006845868425,594,2026
F2×H4,0,0.7212819589485056,0.7686140383572785,0.18338803946971893,0.5418522412458292,524,2025
F2×H4,1,0.7205617572920417,0.7687665187042558,0.18341656029224396,0.5418072231751574,555,2025
F2×H4,2,0.7221822110190853,0.7690176171274962,0.1833055019378662,0.5416542869309439,581,2025
F2×H4,3,0.7220021606049694,0.7692901051549652,0.18324948847293854,0.5414348128512211,587,2025
F2×H4,4,0.723262513503781,0.7691089641501763,0.18316012620925903,0.5414198325868512,516,2025
F2×H4,5,0.7225423118473172,0.769300199918677,0.18333211541175842,0.5416388873055767,582,2025
F2×H4,6,0.7209218581202737,0.7691540729194903,0.18333326280117035,0.5415108386813737,631,2025
