config,seed,accuracy,auc,brier,log_loss
F2×H4,66,0.7200286507296982,0.7731243177203077,0.18191049993038177,0.5369185366741677
F2×H4,67,0.7195809830781628,0.7735914158904146,0.18185490369796753,0.5366482665003997
F2×H4,68,0.719760050138777,0.7735219828489599,0.18196621537208557,0.5370445355293096
F2×H4,69,0.7196705166084699,0.7732906089845033,0.18191967904567719,0.5368032465745002
F2×H4,70,0.7193123824872415,0.7733155631151916,0.18205277621746063,0.536935863201458
F2×H4,71,0.7196705166084699,0.7729969194003854,0.18212002515792847,0.5372248839329148
F2×H4,72,0.7191333154266273,0.773492573866489,0.18192920088768005,0.5367778923589683
F2×H4,73,0.7185961142447846,0.7730055332739492,0.18211297690868378,0.5372763402045572
F2×H4,74,0.7180589130629421,0.7730576863629817,0.1820300668478012,0.5370580051302456
F2×H4,75,0.7187751813053989,0.7730459575735229,0.18212702870368958,0.5372609134328858
F2×H4,76,0.7196705166084699,0.7731131631890863,0.18200591206550598,0.5370027402248273
F2×H4,77,0.719760050138777,0.7735434914302226,0.18185915052890778,0.5365781252205926
F2×H4,78,0.7205658519115409,0.7736341720264683,0.18188616633415222,0.5366263763222298
F2×H4,79,0.7185961142447846,0.7731485931821694,0.1820521056652069,0.5371630595400131
F2×H4,80,0.7193123824872415,0.7733021289527848,0.18194277584552765,0.5368543803305466
F2×H4,81,0.718864714835706,0.773353986211816,0.18197165429592133,0.5369457654165565
F2×H4,82,0.7196705166084699,0.7735955749121959,0.18191702663898468,0.5366575935850301
F2×H4,83,0.7183275136538634,0.772889463502896,0.182088702917099,0.53725383672001
F2×H4,84,0.7192228489569343,0.7734390460380394,0.18199025094509125,0.5369041695296182
F2×H4,85,0.7186856477750918,0.7736205638464136,0.18193934857845306,0.5367633017001447
F2×H4,86,0.719849583669084,0.773240300482537,0.18198229372501373,0.5368370072796445
F2×H4,87,0.7189542483660131,0.7733037995222032,0.18199482560157776,0.53697626136521
F2×H4,88,0.7202972513206196,0.77326567225558,0.18208180367946625,0.5370775664887073
F2×H4,89,0.7190437818963201,0.7729228922930298,0.1821732521057129,0.5373402315242325
F2×H4,90,0.7184170471841704,0.7734433964792331,0.1820092350244522,0.5369119717416596
F2×H4,91,0.7182379801235562,0.7733773393801451,0.1819642037153244,0.5369048973305447
F2×H4,92,0.7187751813053989,0.7732338966330996,0.18205741047859192,0.5370529032002739
F2×H4,93,0.7185961142447846,0.7732243256624729,0.18209043145179749,0.5369703166049975
F2×H4,94,0.7184170471841704,0.7728848520352304,0.18213731050491333,0.5373295397447228
F2×H4,95,0.7194914495478557,0.773210056215357,0.18200312554836273,0.5369297564016042
F2×H4,96,0.7194914495478557,0.7730436257370431,0.182062566280365,0.5371807968726566
F2×H4,97,0.7178798460023279,0.7728322813038433,0.18224520981311798,0.5373203663905132
F2×H4,98,0.7193123824872415,0.7732794196497527,0.18200677633285522,0.5369411598320489
F2×H4,99,0.7195809830781628,0.7730140775404539,0.1820518523454666,0.5371009317187941
F4×H4,0,0.7187751813053989,0.7730998334372683,0.1820572167634964,0.5370813341505255
F4×H4,1,0.7192228489569343,0.7732946809974608,0.18204019963741302,0.5371342265456124
